record_type,planned_id,case_id,condition,order,packet_sha256,brief_sha256,canonical,execution,terminal_contract,scorable_output,needs_human_review,run_id,run_path,failure_reason,workflow_status,mvp30,valid_plan60,artifact_class,academic_quality,academic_quality_state,claim_grounding,claim_grounding_state,claim_grounding_numerator,claim_grounding_denominator,assumption_transparency,assumption_transparency_state,assumption_transparency_numerator,assumption_transparency_denominator,high_impact_unsupported,high_impact_unsupported_state,high_impact_unsupported_numerator,high_impact_unsupported_denominator,request_count,prompt_tokens,output_tokens,total_tokens,visible_output_tokens,thinking_tokens,thinking_tokens_known,thinking_status,transport_retry_count,structure_repair_count,semantic_revision_request_count,usage_missing_calls,first_valid_plan_seconds,first_valid_plan_state,observed_first_complete_contract_seconds,first_mvp30_material_seconds,first_mvp30_material_state,deterministic_mechanical_repair_count,peak_ram_bytes,peak_vram_bytes,peak_pagefile_bytes,peak_ram_bytes_state,peak_vram_bytes_state,peak_pagefile_bytes_state,telemetry_samples,event_sha256,first_valid_plan_seconds_state,first_mvp30_material_seconds_state,mvp30_material,mvp30_material_state,mvp30_material_numerator,mvp30_material_denominator,valid_plan60_state,valid_plan60_numerator,valid_plan60_denominator,request_count_state,transport_retry_count_state,total_tokens_state,first_contract,first_contract_numerator,first_contract_denominator,first_contract_state,first_contract_reason,handoff,handoff_numerator,handoff_denominator,handoff_state,handoff_reason,review_token_share,review_token_share_numerator,review_token_share_denominator,review_token_share_state,review_token_share_reason,completion,completion_state,completion_numerator,completion_denominator,role,applicability,prompt_tokens_known,output_tokens_known,total_tokens_known,usage_incomplete,usage_missing_fields,total_token_basis
run,ai_education-A,ai_education,A,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,succeeded,passed,available,False,b624d4de85ca40679062e1dfe87a6195,runs/ai_education-A/b624d4de85ca40679062e1dfe87a6195,,completed,reached,1,ValidPlan60,,pending_human_review,,pending_human_review,,,,pending_human_review,,,,pending_human_review,,,1,3511,1806,6095,1806,778,778,observed,0,0,0,0,12.375,observed,12.34400000000096,12.34400000000096,observed,1,11771469824,0,42946560,observed,observed,observed,4,d415aa2aad1eb7c7927232751f02f2016b2539aa0128b72b459fee9c4d1e6da1,observed,observed,1,observed,1,1,observed,1,1,observed,observed,observed,1.0,2,2,observed,,,4,4,not_applicable,single agent,,0,6095,not_applicable,single agent,1,observed,1,1,,,,,,,,
run,ai_education-D,ai_education,D,2,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,not_run_preflight_no_go,not_checked,not_available,False,,,non-formal D preflight no_go; formal Granite intentionally not run,not_run_preflight_no_go,not_reached,not_reached,not_run_preflight_no_go,,no_scorable_output,,no_scorable_output,,,,no_scorable_output,,,,no_scorable_output,,,0,,,0,,,,,0,,,,,,,,,,,,,not_run,not_run,not_run,,,not_run,not_run,,not_run,,,not_run,,,not_run,not_run,not_run,,,,not_run,,,,,not_run,,,,,not_run,,0,observed,0,1,,,,,,,,
run,ai_education-B,ai_education,B,3,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,succeeded,passed,available,False,eac92ec822624ba487358598af7d0a17,runs/ai_education-B/eac92ec822624ba487358598af7d0a17,,completed,reached,1,ValidPlan60,,pending_human_review,,pending_human_review,,,,pending_human_review,,,,pending_human_review,,,6,20127,6927,32431,6927,5377,5377,observed,0,1,0,0,55.3279999999977,observed,51.40699999999924,51.40699999999924,observed,3,11944763392,0,42946560,observed,observed,observed,11,f484a7a2b92d08a5732b54432d4ae2d2c9dadc9f4e0d11e1cfd240a21910a79f,observed,observed,1,observed,1,1,observed,1,1,observed,observed,observed,0.8333333333333334,5,6,observed,,1.0,24,24,observed,,0.13255835466066418,4299,32431,observed,,1,observed,1,1,,,,,,,,
run,ai_education-C,ai_education,C,4,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,True,failed,not_checked,not_available,True,d2b8c6845d6044b892d1212b3277168c,runs/ai_education-C/d2b8c6845d6044b892d1212b3277168c,StructuredOutputValidationError,failed,not_reached,0,partial_or_failed,,no_scorable_output,,no_scorable_output,,,,no_scorable_output,,,,no_scorable_output,,,10,23746,5197,37660,5197,8717,8717,observed,0,3,2,0,,not_completed,,,not_reached,3,11933478912,0,44920832,observed,observed,observed,14,eb75ae86d10b04848d74eacbfda98581c1b659ef546b8c71702b7a21f79f6a66,not_completed,not_reached,0,observed,0,1,observed,0,1,observed,observed,observed,0.5714285714285714,4,7,observed,,0.7111111111111111,32,45,observed,,0.39684014869888473,14945,37660,observed,,0,observed,0,1,,,,,,,,
run,intelligent_ring-C,intelligent_ring,C,5,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,failed,not_checked,not_available,False,ce8fcaa94aac4160920e7af2632e3b8e,runs/intelligent_ring-C/ce8fcaa94aac4160920e7af2632e3b8e,StructuredOutputValidationError,failed,not_reached,0,partial_or_failed,,no_scorable_output,,no_scorable_output,,,,no_scorable_output,,,,no_scorable_output,,,2,4072,2327,8096,2327,1697,1697,observed,0,1,0,0,,not_completed,,,not_reached,0,11861291008,0,44302336,observed,observed,observed,5,ee44261c92b2049f8c78029811aa5d72d1e4d48ae259b02fa6a2447a731b8bed,not_completed,not_reached,0,observed,0,1,observed,0,1,observed,observed,observed,0.0,0,1,observed,,0.05714285714285714,2,35,observed,,0.0,0,8096,observed,,0,observed,0,1,,,,,,,,
run,intelligent_ring-B,intelligent_ring,B,6,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,succeeded,passed,available,False,9d991379a99747d186d6b19dbe9b5606,runs/intelligent_ring-B/9d991379a99747d186d6b19dbe9b5606,,completed,reached,1,ValidPlan60,,pending_human_review,,pending_human_review,,,,pending_human_review,,,,pending_human_review,,,6,22449,8310,36047,8310,5288,5288,observed,0,1,0,0,62.88999999999942,observed,59.18699999999808,59.18699999999808,observed,3,13416689664,0,44302336,observed,observed,observed,13,df749b889fc7bed546e4adfbfd486f83f7701bc4ed01eed97f4b144519a27ca7,observed,observed,1,observed,1,1,observed,1,1,observed,observed,observed,0.8333333333333334,5,6,observed,,1.0,24,24,observed,,0.11196493466862707,4036,36047,observed,,1,observed,1,1,,,,,,,,
run,intelligent_ring-D,intelligent_ring,D,7,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,not_run_preflight_no_go,not_checked,not_available,False,,,non-formal D preflight no_go; formal Granite intentionally not run,not_run_preflight_no_go,not_reached,not_reached,not_run_preflight_no_go,,no_scorable_output,,no_scorable_output,,,,no_scorable_output,,,,no_scorable_output,,,0,,,0,,,,,0,,,,,,,,,,,,,not_run,not_run,not_run,,,not_run,not_run,,not_run,,,not_run,,,not_run,not_run,not_run,,,,not_run,,,,,not_run,,,,,not_run,,0,observed,0,1,,,,,,,,
run,intelligent_ring-A,intelligent_ring,A,8,7deb2172fcb2ed46ab93f04d24285e094167c634f42abe006c343372f4463e6b,dac67857282ea5b0452906799a5e5e4a307b040382f8931dd01338a4ff56a468,True,failed,not_checked,not_available,False,d9b8722dc2e547a6b1dbe9c121cafec7,runs/intelligent_ring-A/d9b8722dc2e547a6b1dbe9c121cafec7,CitationPollutionError,failed,not_reached,0,partial_or_failed,,no_scorable_output,,no_scorable_output,,,,no_scorable_output,,,,no_scorable_output,,,1,3933,1915,6765,1915,917,917,observed,0,0,0,0,,not_completed,,,not_reached,1,11657756672,0,44302336,observed,observed,observed,4,2414e1a6e35dfdd0ebb6565fb8f9f82f8b1aa68a740f02b1c539804139baa166,not_completed,not_reached,0,observed,0,1,observed,0,1,observed,observed,observed,0.0,0,1,observed,,,2,4,not_applicable,single agent,,0,6765,not_applicable,single agent,0,observed,0,1,,,,,,,,
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3511,1806,6095,1806,778,778,observed,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",,,,,,,,,,,,,,,,,,,single,applicable,3511,1806,6095,False,[],provider total (includes returned thinking); never add thinking to total again
role,ai_education-A,ai_education,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_applicable,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",,,,,,,,,,,,,,,,,,,research,not_applicable,0,0,0,False,[],provider total (includes returned thinking); never add thinking to total again
