metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
completion,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,B-A,intelligent_ring,1,0,1,succeeded,failed,observed,observed,improved
completion,C-B,ai_education,0,1,-1,failed,succeeded,observed,observed,worsened
completion,C-B,intelligent_ring,0,1,-1,failed,succeeded,observed,observed,worsened
mvp30_material,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,B-A,intelligent_ring,1,0,1,succeeded,failed,observed,observed,improved
mvp30_material,C-B,ai_education,0,1,-1,failed,succeeded,observed,observed,worsened
mvp30_material,C-B,intelligent_ring,0,1,-1,failed,succeeded,observed,observed,worsened
valid_plan60,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,B-A,intelligent_ring,1,0,1,succeeded,failed,observed,observed,improved
valid_plan60,C-B,ai_education,0,1,-1,failed,succeeded,observed,observed,worsened
valid_plan60,C-B,intelligent_ring,0,1,-1,failed,succeeded,observed,observed,worsened
first_mvp30_material_seconds,B-A,ai_education,51.40699999999924,12.34400000000096,39.06299999999828,succeeded,succeeded,observed,observed,worsened
first_mvp30_material_seconds,B-A,intelligent_ring,59.18699999999808,,,succeeded,failed,observed,not_reached,missing
first_mvp30_material_seconds,C-B,ai_education,,51.40699999999924,,failed,succeeded,not_reached,observed,missing
first_mvp30_material_seconds,C-B,intelligent_ring,,59.18699999999808,,failed,succeeded,not_reached,observed,missing
first_contract,B-A,ai_education,0.8333333333333334,1.0,-0.16666666666666663,succeeded,succeeded,observed,observed,worsened
first_contract,B-A,intelligent_ring,0.8333333333333334,0.0,0.8333333333333334,succeeded,failed,observed,observed,improved
first_contract,C-B,ai_education,0.5714285714285714,0.8333333333333334,-0.261904761904762,failed,succeeded,observed,observed,worsened
first_contract,C-B,intelligent_ring,0.0,0.8333333333333334,-0.8333333333333334,failed,succeeded,observed,observed,worsened
handoff,B-A,ai_education,1.0,,,succeeded,succeeded,observed,not_applicable,missing
handoff,B-A,intelligent_ring,1.0,,,succeeded,failed,observed,not_applicable,missing
handoff,C-B,ai_education,0.7111111111111111,1.0,-0.28888888888888886,failed,succeeded,observed,observed,worsened
handoff,C-B,intelligent_ring,0.05714285714285714,1.0,-0.9428571428571428,failed,succeeded,observed,observed,worsened
review_token_share,B-A,ai_education,0.13255835466066418,,,succeeded,succeeded,observed,not_applicable,missing
review_token_share,B-A,intelligent_ring,0.11196493466862707,,,succeeded,failed,observed,not_applicable,missing
review_token_share,C-B,ai_education,0.39684014869888473,0.13255835466066418,0.26428179403822055,failed,succeeded,observed,observed,descriptive
