condition,metric,mean,median,valid_cases,planned_cases,aggregation
A,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,mvp30_material,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,valid_plan60,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,first_mvp30_material_seconds,0.08600000000001273,0.08600000000001273,2,2,equal weight of applicable case values; no pooling claim denominators
A,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,handoff,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,review_token_share,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,first_valid_plan_seconds,0.1169999999999618,0.1169999999999618,2,2,equal weight of applicable case values; no pooling claim denominators
A,request_count,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,total_tokens,15,15.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,mvp30_material,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,valid_plan60,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_mvp30_material_seconds,0.2339999999999236,0.2339999999999236,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,review_token_share,0.18333333333333335,0.18333333333333335,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_valid_plan_seconds,0.33600000000001273,0.33600000000001273,2,2,equal weight of applicable case values; no pooling claim denominators
B,request_count,5.5,5.5,2,2,equal weight of applicable case values; no pooling claim denominators
