metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
completion,B-A,ai_education,0,0,0,not_run,not_run,observed,observed,tied
completion,B-A,intelligent_ring,0,0,0,not_run,not_run,observed,observed,tied
completion,C-B,ai_education,0,0,0,not_run,not_run,observed,observed,tied
completion,C-B,intelligent_ring,0,0,0,not_run,not_run,observed,observed,tied
completion,C-D,ai_education,0,0,0,not_run,not_run,observed,observed,tied
completion,C-D,intelligent_ring,0,0,0,not_run,not_run,observed,observed,tied
first_contract,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_contract,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
first_contract,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_contract,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
first_contract,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_contract,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
handoff,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
handoff,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
handoff,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
handoff,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
handoff,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
handoff,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
review_token_share,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
review_token_share,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
review_token_share,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
review_token_share,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
review_token_share,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
review_token_share,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
first_valid_plan_seconds,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
request_count,B-A,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
request_count,B-A,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
request_count,C-B,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
request_count,C-B,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
request_count,C-D,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
request_count,C-D,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,B-A,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,B-A,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,C-B,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,C-B,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,C-D,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
total_tokens,C-D,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,B-A,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,B-A,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,C-B,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,C-B,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,C-D,ai_education,0,0,0,not_run,not_run,not_run,not_run,tied
transport_retry_count,C-D,intelligent_ring,0,0,0,not_run,not_run,not_run,not_run,tied
peak_ram_bytes,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_ram_bytes,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_ram_bytes,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_ram_bytes,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_ram_bytes,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_ram_bytes,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_vram_bytes,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,B-A,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,B-A,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,C-B,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,C-B,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,C-D,ai_education,,,,not_run,not_run,not_run,not_run,missing
peak_pagefile_bytes,C-D,intelligent_ring,,,,not_run,not_run,not_run,not_run,missing
academic_quality,B-A,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
academic_quality,B-A,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
academic_quality,C-B,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
academic_quality,C-B,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
academic_quality,C-D,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
academic_quality,C-D,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,B-A,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,B-A,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,C-B,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,C-B,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,C-D,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
claim_grounding,C-D,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,B-A,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,B-A,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,C-B,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,C-B,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,C-D,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
assumption_transparency,C-D,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,B-A,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,B-A,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,C-B,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,C-B,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,C-D,ai_education,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
high_impact_unsupported,C-D,intelligent_ring,,,,not_run,not_run,no_scorable_output,no_scorable_output,missing
