planned_id,case_id,condition,logical_task_id,role,first_output_passed,state,actual_attempt_count,attempt_ids
ai_education-A,ai_education,A,single.v1.batch1,single,True,observed,1,"[""dcd07531-15d7-4ae0-a44b-e710f068e60b""]"
ai_education-A,ai_education,A,single.v1.batch2,single,True,observed,1,"[""3c8259ef-39a6-47fc-80bc-21f231b9930f""]"
ai_education-A,ai_education,A,single.v1.batch3,single,True,observed,1,"[""5f4f0536-0ae2-44a4-95eb-1f4a164cb3b2""]"
ai_education-A,ai_education,A,single.v1.batch4,single,True,observed,1,"[""b12d6b46-c64a-47f3-a7e5-77c5a09367d3""]"
ai_education-A,ai_education,A,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,final.critic.v1,final_critic,True,observed,1,"[""758abc59-9216-4075-93b4-0971f203e246""]"
ai_education-D,ai_education,D,finance.critic.v1,finance_critic,True,observed,1,"[""448c6a86-1400-437a-b1ad-858728f77a0e""]"
ai_education-D,ai_education,D,finance.v1,finance,True,observed,1,"[""551c8d92-dfda-45e8-a6b8-f03d9f69698c""]"
ai_education-D,ai_education,D,research.critic.v1,research_critic,True,observed,1,"[""6c0e7793-d54f-400f-be0c-4c14bdc19b4a""]"
ai_education-D,ai_education,D,research.v1,research,True,observed,1,"[""7e121401-1a4f-49b4-8547-543b8aeeff86""]"
ai_education-D,ai_education,D,strategy.critic.v1,strategy_critic,True,observed,1,"[""018fde94-a2b0-4a1c-84b8-bc22211b4dbc""]"
ai_education-D,ai_education,D,strategy.v1,strategy,True,observed,1,"[""f1ec792f-b284-4b1a-be33-85cc5f7dce29""]"
ai_education-D,ai_education,D,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,writer.v1.batch1,writer,True,observed,1,"[""b8533e40-4a31-44d2-98b3-0b58606072a0""]"
ai_education-D,ai_education,D,writer.v1.batch2,writer,True,observed,1,"[""f327c4f7-42f9-448d-a232-26ceebf4af97""]"
ai_education-D,ai_education,D,writer.v1.batch3,writer,True,observed,1,"[""5004f8f2-31e1-4725-8360-4cddf54fb998""]"
ai_education-D,ai_education,D,writer.v1.batch4,writer,True,observed,1,"[""2b9fd09c-4fe9-4f4d-b9d4-795acb456bf6""]"
ai_education-B,ai_education,B,final.critic.v1,final_critic,True,observed,1,"[""473ef53d-f4ae-4a4c-9436-67708aa54f4c""]"
ai_education-B,ai_education,B,finance.v1,finance,True,observed,1,"[""ce231e44-1b47-402e-8b2d-054a95fc3a44""]"
ai_education-B,ai_education,B,research.v1,research,True,observed,1,"[""150ca5b3-de23-4a53-927a-94c901f1b24e""]"
ai_education-B,ai_education,B,strategy.v1,strategy,True,observed,1,"[""d30b1cea-0476-48d4-b0a8-b371fac730a7""]"
ai_education-B,ai_education,B,terminal.v1,export,True,observed,0,[]
ai_education-B,ai_education,B,writer.v1.batch1,writer,True,observed,1,"[""755f72ce-61ed-4363-85db-abfb0754cdda""]"
ai_education-B,ai_education,B,writer.v1.batch2,writer,True,observed,1,"[""b583f2bf-da65-4dc8-812c-46491788e7e6""]"
ai_education-B,ai_education,B,writer.v1.batch3,writer,True,observed,1,"[""80fa4ebe-53c2-4196-8bca-9718072e13f5""]"
ai_education-B,ai_education,B,writer.v1.batch4,writer,True,observed,1,"[""c3f34577-f777-4056-8997-8c452f23e1d8""]"
ai_education-C,ai_education,C,final.critic.v1,final_critic,True,observed,1,"[""b7d33c53-0de8-4a46-ad2d-9f2998710fa5""]"
ai_education-C,ai_education,C,finance.critic.v1,finance_critic,True,observed,1,"[""38f3f890-1ad2-4dcb-b51e-3e6f4bc9c1e9""]"
ai_education-C,ai_education,C,finance.v1,finance,True,observed,1,"[""c79c5dce-b8d3-46cb-b47e-24361c4248f4""]"
ai_education-C,ai_education,C,research.critic.v1,research_critic,True,observed,1,"[""acf5f6ac-877f-49be-b280-43ff5f3ad1ff""]"
ai_education-C,ai_education,C,research.v1,research,True,observed,1,"[""7bec9c25-777b-42e6-85bd-5406854c7c4a""]"
ai_education-C,ai_education,C,strategy.critic.v1,strategy_critic,True,observed,1,"[""d497892e-db13-417c-b692-998f9ac67c20""]"
ai_education-C,ai_education,C,strategy.v1,strategy,True,observed,1,"[""c53a934a-d26a-4b16-a022-fdf76f4860d2""]"
ai_education-C,ai_education,C,terminal.v1,export,True,observed,0,[]
ai_education-C,ai_education,C,writer.v1.batch1,writer,True,observed,1,"[""757c0854-beb9-4ed5-87ba-d0665d96dd3e""]"
