planned_id,case_id,condition,handoff_id,run_id,upstream_node,downstream_node,required_artifact_id,required_artifact_version,required_artifact_hash,dependency_ids,branch_rule,expected,status,received_artifact_ref,occurred_at_utc,within_budget,failure_reason,metric_status
ai_education-A,ai_education,A,frozen_inputs->single.generate:packet,b624d4de85ca40679062e1dfe87a6195,frozen_inputs,single.generate,packet,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c""}",2026-09-08T11:46:00.118327+00:00,True,,succeeded
ai_education-A,ai_education,A,frozen_inputs->single.generate:brief,b624d4de85ca40679062e1dfe87a6195,frozen_inputs,single.generate,brief,1,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d""}",2026-09-08T11:46:00.118327+00:00,True,,succeeded
ai_education-A,ai_education,A,single.generate->single.effective:single.initial,b624d4de85ca40679062e1dfe87a6195,single.generate,single.effective,single.initial,1,1664d696c1d5b63b703b7decd01b38506a8c2d4a06ad82b293e2033f614e5b49,"[""single.initial""]",always,True,succeeded,"{""artifact_id"": ""single.initial"", ""artifact_version"": 1, ""sha256"": ""1664d696c1d5b63b703b7decd01b38506a8c2d4a06ad82b293e2033f614e5b49""}",2026-09-08T11:46:11.501489+00:00,True,,succeeded
ai_education-A,ai_education,A,single.effective->terminal:single.effective,b624d4de85ca40679062e1dfe87a6195,single.effective,terminal,single.effective,1,1664d696c1d5b63b703b7decd01b38506a8c2d4a06ad82b293e2033f614e5b49,"[""single.effective""]",always,True,succeeded,"{""artifact_id"": ""single.effective"", ""artifact_version"": 1, ""sha256"": ""1664d696c1d5b63b703b7decd01b38506a8c2d4a06ad82b293e2033f614e5b49""}",2026-09-08T11:46:11.521296+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->research.generate:packet,eac92ec822624ba487358598af7d0a17,frozen_inputs,research.generate,packet,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c""}",2026-09-08T11:46:12.952589+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->research.generate:brief,eac92ec822624ba487358598af7d0a17,frozen_inputs,research.generate,brief,1,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d""}",2026-09-08T11:46:12.953635+00:00,True,,succeeded
ai_education-B,ai_education,B,research.generate->research.effective:research.initial,eac92ec822624ba487358598af7d0a17,research.generate,research.effective,research.initial,1,9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7,"[""research.initial""]",always,True,succeeded,"{""artifact_id"": ""research.initial"", ""artifact_version"": 1, ""sha256"": ""9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7""}",2026-09-08T11:46:30.971283+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->strategy.generate:packet,eac92ec822624ba487358598af7d0a17,frozen_inputs,strategy.generate,packet,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c""}",2026-09-08T11:46:30.983300+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->strategy.generate:brief,eac92ec822624ba487358598af7d0a17,frozen_inputs,strategy.generate,brief,1,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d""}",2026-09-08T11:46:30.983300+00:00,True,,succeeded
ai_education-B,ai_education,B,research.effective->strategy.generate:research.effective,eac92ec822624ba487358598af7d0a17,research.effective,strategy.generate,research.effective,1,9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7,"[""research.effective""]",always,True,succeeded,"{""artifact_id"": ""research.effective"", ""artifact_version"": 1, ""sha256"": ""9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7""}",2026-09-08T11:46:30.983300+00:00,True,,succeeded
ai_education-B,ai_education,B,strategy.generate->strategy.effective:strategy.initial,eac92ec822624ba487358598af7d0a17,strategy.generate,strategy.effective,strategy.initial,1,fe11eacbc5b0e2bb4f73a7da33cf4ed41ea347dc3fed474b6c97937247142e4b,"[""strategy.initial""]",always,True,succeeded,"{""artifact_id"": ""strategy.initial"", ""artifact_version"": 1, ""sha256"": ""fe11eacbc5b0e2bb4f73a7da33cf4ed41ea347dc3fed474b6c97937247142e4b""}",2026-09-08T11:46:41.196206+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->finance.generate:packet,eac92ec822624ba487358598af7d0a17,frozen_inputs,finance.generate,packet,1,a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""a673664f362509f9d9ccd10c281fc279112bc491807add2489adb27000d0d10c""}",2026-09-08T11:46:41.208271+00:00,True,,succeeded
ai_education-B,ai_education,B,frozen_inputs->finance.generate:brief,eac92ec822624ba487358598af7d0a17,frozen_inputs,finance.generate,brief,1,71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""71adecf347d25bd8a349846f1f1cd97efe522fc45786b6f36552f0b3fbb7102d""}",2026-09-08T11:46:41.209284+00:00,True,,succeeded
ai_education-B,ai_education,B,research.effective->finance.generate:research.effective,eac92ec822624ba487358598af7d0a17,research.effective,finance.generate,research.effective,1,9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7,"[""research.effective""]",always,True,succeeded,"{""artifact_id"": ""research.effective"", ""artifact_version"": 1, ""sha256"": ""9988a498198c153435633d3fb8601e93be7093f309581678491e7c3d9e33a4c7""}",2026-09-08T11:46:41.210277+00:00,True,,succeeded
ai_education-B,ai_education,B,strategy.effective->finance.generate:strategy.effective,eac92ec822624ba487358598af7d0a17,strategy.effective,finance.generate,strategy.effective,1,fe11eacbc5b0e2bb4f73a7da33cf4ed41ea347dc3fed474b6c97937247142e4b,"[""strategy.effective""]",always,True,succeeded,"{""artifact_id"": ""strategy.effective"", ""artifact_version"": 1, ""sha256"": ""fe11eacbc5b0e2bb4f73a7da33cf4ed41ea347dc3fed474b6c97937247142e4b""}",2026-09-08T11:46:41.211541+00:00,True,,succeeded
