condition,metric,mean,median,valid_cases,planned_cases,aggregation
A,completion,0.5,0.5,2,2,equal weight of applicable case values; no pooling claim denominators
A,mvp30_material,0.5,0.5,2,2,equal weight of applicable case values; no pooling claim denominators
A,valid_plan60,0.5,0.5,2,2,equal weight of applicable case values; no pooling claim denominators
A,first_mvp30_material_seconds,12.34400000000096,12.34400000000096,1,2,equal weight of applicable case values; no pooling claim denominators
A,first_contract,0.5,0.5,2,2,equal weight of applicable case values; no pooling claim denominators
A,handoff,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,review_token_share,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,first_valid_plan_seconds,12.375,12.375,1,2,equal weight of applicable case values; no pooling claim denominators
A,request_count,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,total_tokens,6430,6430.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_ram_bytes,11714613248,11714613248.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_pagefile_bytes,43624448,43624448.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,mvp30_material,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,valid_plan60,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_mvp30_material_seconds,55.29699999999866,55.29699999999866,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_contract,0.8333333333333334,0.8333333333333334,2,2,equal weight of applicable case values; no pooling claim denominators
B,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,review_token_share,0.12226164466464562,0.12226164466464562,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_valid_plan_seconds,59.10899999999856,59.10899999999856,2,2,equal weight of applicable case values; no pooling claim denominators
B,request_count,6,6.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,total_tokens,34239,34239.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_ram_bytes,12680726528,12680726528.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_pagefile_bytes,43624448,43624448.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,completion,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,mvp30_material,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,valid_plan60,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_mvp30_material_seconds,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,first_contract,0.2857142857142857,0.2857142857142857,2,2,equal weight of applicable case values; no pooling claim denominators
