metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
completion,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,B-A,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-B,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-B,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-D,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-D,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,B-A,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,C-B,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,C-B,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,C-D,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
mvp30_material,C-D,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,B-A,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,C-B,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,C-B,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,C-D,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
valid_plan60,C-D,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
first_mvp30_material_seconds,B-A,ai_education,0.2339999999999236,0.09400000000005093,0.13999999999987267,succeeded,succeeded,observed,observed,worsened
first_mvp30_material_seconds,B-A,intelligent_ring,0.2339999999999236,0.07799999999997453,0.15599999999994907,succeeded,succeeded,observed,observed,worsened
first_mvp30_material_seconds,C-B,ai_education,0.36000000000012733,0.2339999999999236,0.12600000000020373,succeeded,succeeded,observed,observed,worsened
first_mvp30_material_seconds,C-B,intelligent_ring,0.5,0.2339999999999236,0.2660000000000764,succeeded,succeeded,observed,observed,worsened
first_mvp30_material_seconds,C-D,ai_education,0.36000000000012733,0.38999999999987267,-0.02999999999974534,succeeded,succeeded,observed,observed,improved
first_mvp30_material_seconds,C-D,intelligent_ring,0.5,0.5160000000000764,-0.016000000000076398,succeeded,succeeded,observed,observed,improved
first_contract,B-A,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,B-A,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-B,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-B,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-D,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-D,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,B-A,ai_education,1.0,,,succeeded,succeeded,observed,not_applicable,missing
handoff,B-A,intelligent_ring,1.0,,,succeeded,succeeded,observed,not_applicable,missing
handoff,C-B,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-B,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-D,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-D,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
review_token_share,B-A,ai_education,0.2,,,succeeded,succeeded,observed,not_applicable,missing
review_token_share,B-A,intelligent_ring,0.16666666666666666,,,succeeded,succeeded,observed,not_applicable,missing
