anonymous_id,candidate_id,claim_text,occurrences,model_claim_type,candidate_source_ids,candidate_evidence_locations,decision_critical,atomic_reviewed,duplicate_of,human_claim_type,support_verdict,correct_assumption,high_impact,human_evidence_locations,rationale,reviewer,reviewed_at
P001,C0001,"The proposed pilot tests if students need more timely, personalized business-case reasoning feedback.","[""executive_summary.content.segment1"", ""executive_summary.key_claims[1]""]","[""assumption""]",[],[],,,,,,,,,,,
P001,C0002,The pilot's success hinges on validating this demand hypothesis.,"[""executive_summary.key_claims[1].premise"", ""problem.key_claims[1].premise""]",[],[],[],,,,,,,,,,,
P001,C0003,"The pilot tests whether students need more timely, personalized business-case reasoning feedback.","[""problem.content.segment1"", ""problem.key_claims[1]""]","[""assumption""]",[],[],,,,,,,,,,,
P001,C0004,"In 2021–22, 23 percent of master’s degrees (205,800) were in business, management, marketing [EDU-02].","[""target_customer.content.segment1"", ""target_customer.key_claims[1]""]","[""factual""]","[""EDU-02""]","[{""source_id"": ""EDU-02"", ""chunk_id"": ""EDU-02-C2"", ""line_start"": 342, ""line_end"": 354, ""snapshot_sha256"": ""77a5e89be05b54e137ef920e582abbf0a8f5d479f9ff785c992934df721bc56c"", ""quote"": ""1 In order to be consistent with the definition of “business” for bachelor’s degree data, “business” is defined as business, management, marketing, and related support services, as well as culinary, entertainment, and personal services.\nNOTE:\nData are for the 50 states and the District of Columbia. The fields shown are the five programs in which the largest numbers of master’s degrees were conferred in 2021–22. Data are for postsecondary institutions participating in Title IV federal financial aid programs and U.S. service academies. Data in this figure are based on the 2020 Classification of Instructional Programs. Some data have been revised from previously published figures. Figures are plotted based on unrounded data.\nSOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Completions component, Fall 2012 through Fall 2021 (final data) and Fall 2022 (provisional data). See Digest of Education Statistics 2023, table 323.10 and Digest of Education Statistics 2022, table 323.10.\nIn 2021–22, postsecondary institutions conferred 880,200 master’s degrees. Of the master’s degrees conferred, 69 percent were concentrated in five fields of study:\nbusiness3 (205,800 degrees, 23 percent)\neducation (151,700 degrees, 17 percent)\nhealth professions and related programs (147,000 degrees, 17 percent)\ncomputer and information sciences and support services (51,300 degrees, 6 percent)\npublic administration and social services (50,100 degrees, 6 percent)\nPrevious Finding\nNext Finding\nSelect Another Subgroup Characteristic""}]",,,,,,,,,,,
P001,C0005,Total master’s degrees conferred increased by 16 percent between 2011–12 and 2021–22 [EDU-02].,"[""market_opportunity.content.segment1"", ""market_opportunity.key_claims[1]""]","[""factual""]","[""EDU-02""]","[{""source_id"": ""EDU-02"", ""chunk_id"": ""EDU-02-C1"", ""line_start"": 299, ""line_end"": 305, ""snapshot_sha256"": ""77a5e89be05b54e137ef920e582abbf0a8f5d479f9ff785c992934df721bc56c"", ""quote"": ""Last Updated: May 2024\n|\nSuggested citation\nDownload PDF\nDownload PDF\nBetween 2011–12 and 2021–22, the total number of master’s degrees conferred increased by 16 percent, from 756,000 to 880,200 degrees. During this time, the number of doctor’s degrees conferred increased 20 percent, from 170,200 to 203,900 degrees.\nIn 2021–22, postsecondary institutions in the United States1 conferred 1.1 million graduate degrees, an increase of 17 percent since 2011–12.2 These included 880,200 master’s degrees and 203,900 doctor’s degrees in 2021–22. For the purposes of this analysis, doctor’s degrees include Ph.D., Ed.D., and comparable degrees at the doctoral level, as well as such degrees as M.D., D.D.S., and J.D. that were previously classified as first-professional degrees. Health professions and related programs were among the top three most popular fields of study at both award levels, as was education.""}]",,,,,,,,,,,
P001,C0006,No content licenses for cases have been verified for the AI Tutor.,"[""solution.content.segment1"", ""solution.key_claims[1]""]","[""factual""]",[],[],,,,,,,,,,,
P001,C0007,Differentiation from low-price broad tutoring is needed for an MBA-specific offering.,"[""value_proposition.content.segment1"", ""value_proposition.key_claims[1]""]","[""recommendation""]",[],[],,,,,,,,,,,
P001,C0008,Focus on MBA-specific content and feedback quality.,"[""value_proposition.key_claims[1].premise""]",[],[],[],,,,,,,,,,,
P001,C0009,Khanmigo provides personalized tutoring and coaching for skills mastery and career advancement [EDU-01].,"[""competitor_analysis.content.segment1"", ""competitor_analysis.key_claims[1]""]","[""factual""]","[""EDU-01""]","[{""source_id"": ""EDU-01"", ""chunk_id"": ""EDU-01-C1"", ""line_start"": 22, ""line_end"": 32, ""snapshot_sha256"": ""3ba7b605f33ac8d94f437a7d447df31b4378b947d3ec92845f1dd83be2022c00"", ""quote"": ""For you\n$4/month\n$44/year\nSave $4 w/ annual\nMaster skills with personalized tutoring on Khan Academy's world-class content.\nWrite and debate with guided prompts and immediate feedback.\nAdvance in your career with coaching.\nHone coding skills with real-time feedback.\nAccess your chat history.\nSelect plan\n*Sales tax not included in Khanmigo pricing.""}]",,,,,,,,,,,
P001,C0010,The base financial scenario for the AI Tutor is a direct monthly subscription.,"[""business_model.content.segment1"", ""business_model.key_claims[1]""]","[""factual""]",[],[],,,,,,,,,,,
P001,C0011,The subscription price is $19 per customer per month.,"[""go_to_market_strategy.content.segment1"", ""go_to_market_strategy.key_claims[1]""]","[""assumption""]",[],[],,,,,,,,,,,
P001,C0012,This price point is an assumption for the financial model.,"[""go_to_market_strategy.key_claims[1].premise""]",[],[],[],,,,,,,,,,,
P001,C0013,"With 250 average paying users, monthly revenue is $4,750.00.","[""financial_assumptions.content.segment1"", ""financial_assumptions.key_claims[1]""]","[""projection""]",[],[],,,,,,,,,,,
P001,C0014,This projection assumes 250 paying users at $19/month.,"[""financial_assumptions.key_claims[1].premise""]",[],[],[],,,,,,,,,,,
P001,C0015,"{""currency"": ""USD"", ""formula_id"": ""s0-case-formulas-v1/ai_education/monthly_revenue"", ""input_ids"": [""average_paying_users.low"", ""subscription_price""], ""origin"": ""calculated_result"", ""period"": ""month"", ""reason"": null, ""rounding_policy"": ""money_2dp_half_up"", ""source_ids"": [], ""status"": ""value"", ""unit"": ""USD/month"", ""value"": ""1900.00"", ""value_id"": ""low.monthly_revenue""}","[""financial_assumptions.financial_values[1]""]","[""calculated_result""]",[],[],,,,,,,,,,,
