metric,comparison,case_id,left_value,right_value,difference,left_execution,right_execution,left_state,right_state,effect
completion,B-A,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,B-A,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-B,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-B,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-D,ai_education,1,1,0,succeeded,succeeded,observed,observed,tied
completion,C-D,intelligent_ring,1,1,0,succeeded,succeeded,observed,observed,tied
first_contract,B-A,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,B-A,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-B,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-B,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-D,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
first_contract,C-D,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,B-A,ai_education,1.0,,,succeeded,succeeded,observed,not_applicable,missing
handoff,B-A,intelligent_ring,1.0,,,succeeded,succeeded,observed,not_applicable,missing
handoff,C-B,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-B,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-D,ai_education,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
handoff,C-D,intelligent_ring,1.0,1.0,0.0,succeeded,succeeded,observed,observed,tied
review_token_share,B-A,ai_education,0.125,,,succeeded,succeeded,observed,not_applicable,missing
review_token_share,B-A,intelligent_ring,0.08333333333333333,,,succeeded,succeeded,observed,not_applicable,missing
review_token_share,C-B,ai_education,0.36363636363636365,0.125,0.23863636363636365,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-B,intelligent_ring,0.2222222222222222,0.08333333333333333,0.1388888888888889,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-D,ai_education,0.36363636363636365,0.36363636363636365,0.0,succeeded,succeeded,observed,observed,descriptive
review_token_share,C-D,intelligent_ring,0.2222222222222222,0.2222222222222222,0.0,succeeded,succeeded,observed,observed,descriptive
first_valid_plan_seconds,B-A,ai_education,0.28200000000651926,0.14000000001396984,0.14199999999254942,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,B-A,intelligent_ring,0.5160000000032596,0.14100000000325963,0.375,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-B,ai_education,0.5309999999881256,0.28200000000651926,0.24899999998160638,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-B,intelligent_ring,0.7809999999881256,0.5160000000032596,0.264999999984866,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-D,ai_education,0.5309999999881256,0.40599999998812564,0.125,succeeded,succeeded,observed,observed,worsened
first_valid_plan_seconds,C-D,intelligent_ring,0.7809999999881256,0.8599999999860302,-0.07899999999790452,succeeded,succeeded,observed,observed,improved
request_count,B-A,ai_education,8,4,4,succeeded,succeeded,observed,observed,worsened
request_count,B-A,intelligent_ring,12,4,8,succeeded,succeeded,observed,observed,worsened
request_count,C-B,ai_education,11,8,3,succeeded,succeeded,observed,observed,worsened
request_count,C-B,intelligent_ring,18,12,6,succeeded,succeeded,observed,observed,worsened
request_count,C-D,ai_education,11,11,0,succeeded,succeeded,observed,observed,tied
request_count,C-D,intelligent_ring,18,18,0,succeeded,succeeded,observed,observed,tied
total_tokens,B-A,ai_education,120,60,60,succeeded,succeeded,observed,observed,worsened
