planned_id,case_id,condition,node,status,route,budget,rule,gate,issues
ai_education-A,ai_education,A,single.generate,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 1, ""retry_count"": 0, ""remaining_requests"": 31, ""remaining_tokens"": 19999985, ""exhausted"": false, ""charged_total_tokens"": 15, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 10, ""actual_output_tokens_known"": 5, ""actual_total_tokens_known"": 15, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.09400000000005093, ""node_elapsed_seconds"": 0.047000000000025466, ""node_scope_id"": ""7d4a7dd0b7da4043bc2dfd959a767e6a.single"", ""node_role"": ""single"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.047, ""effective_deadline_run_elapsed_seconds"": 1200.047, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-A,ai_education,A,single.effective,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 1, ""retry_count"": 0, ""remaining_requests"": 31, ""remaining_tokens"": 19999985, ""exhausted"": false, ""charged_total_tokens"": 15, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 10, ""actual_output_tokens_known"": 5, ""actual_total_tokens_known"": 15, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.1089999999999236, ""node_elapsed_seconds"": null, ""node_scope_id"": null, ""node_role"": null, ""node_effective_seconds"": null, ""node_deadline_run_elapsed_seconds"": null, ""effective_deadline_run_elapsed_seconds"": 3600.0, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-A,ai_education,A,terminal,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 1, ""retry_count"": 0, ""remaining_requests"": 31, ""remaining_tokens"": 19999985, ""exhausted"": false, ""charged_total_tokens"": 15, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 10, ""actual_output_tokens_known"": 5, ""actual_total_tokens_known"": 15, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.125, ""node_elapsed_seconds"": null, ""node_scope_id"": null, ""node_role"": null, ""node_effective_seconds"": null, ""node_deadline_run_elapsed_seconds"": null, ""effective_deadline_run_elapsed_seconds"": 3600.0, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,research.generate,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 1, ""retry_count"": 0, ""remaining_requests"": 31, ""remaining_tokens"": 19999985, ""exhausted"": false, ""charged_total_tokens"": 15, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 10, ""actual_output_tokens_known"": 5, ""actual_total_tokens_known"": 15, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.17200000000002547, ""node_elapsed_seconds"": 0.032000000000152795, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,research.critic,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 30, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.17200000000002547, ""node_elapsed_seconds"": 0.032000000000152795, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,research.gate,completed,pass,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 30, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.18699999999989814, ""node_elapsed_seconds"": 0.047000000000025466, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",any high/critical issue; score is diagnostic only,"{""role"": ""research"", ""artifact_id"": ""research.initial"", ""artifact_version"": 1, ""overall_score"": 7.5, ""revision_required"": false, ""blocking"": false, ""revision_count"": 0, ""decision"": ""pass"", ""trigger_issue_ids"": [], ""budget_snapshot"": {""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 30, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.18699999999989814, ""node_elapsed_seconds"": 0.047000000000025466, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_deadline_run_elapsed_seconds"": 1200.1399999999999, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}, ""semantic_verification_status"": ""reviewed_initial""}",[]
ai_education-D,ai_education,D,research.effective,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 30, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.18699999999989814, ""node_elapsed_seconds"": null, ""node_scope_id"": null, ""node_role"": null, ""node_effective_seconds"": null, ""node_deadline_run_elapsed_seconds"": null, ""effective_deadline_run_elapsed_seconds"": 3600.0, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,strategy.generate,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 3, ""retry_count"": 0, ""remaining_requests"": 29, ""remaining_tokens"": 19999955, ""exhausted"": false, ""charged_total_tokens"": 45, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 30, ""actual_output_tokens_known"": 15, ""actual_total_tokens_known"": 45, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.2179999999998472, ""node_elapsed_seconds"": 0.01499999999987267, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.203, ""effective_deadline_run_elapsed_seconds"": 1200.203, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,strategy.critic,completed,,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 28, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.25, ""node_elapsed_seconds"": 0.047000000000025466, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.203, ""effective_deadline_run_elapsed_seconds"": 1200.203, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",,,
ai_education-D,ai_education,D,strategy.gate,completed,pass,"{""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 28, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.26499999999987267, ""node_elapsed_seconds"": 0.06199999999989814, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.203, ""effective_deadline_run_elapsed_seconds"": 1200.203, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}",any high/critical issue; score is diagnostic only,"{""role"": ""strategy"", ""artifact_id"": ""strategy.initial"", ""artifact_version"": 1, ""overall_score"": 7.5, ""revision_required"": false, ""blocking"": false, ""revision_count"": 0, ""decision"": ""pass"", ""trigger_issue_ids"": [], ""budget_snapshot"": {""max_requests"": 32, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 28, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.26499999999987267, ""node_elapsed_seconds"": 0.06199999999989814, ""node_scope_id"": ""36b96cdf44ef42d88039837fa64ddbea.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200, ""node_deadline_run_elapsed_seconds"": 1200.203, ""effective_deadline_run_elapsed_seconds"": 1200.203, ""effective_request_timeout_seconds"": 10.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200, ""research_output_caps"": {""body"": 640, ""grounding"": 1800, ""single"": 1800}, ""configured_max_output_tokens"": 1800, ""effective_max_output_tokens"": null}, ""semantic_verification_status"": ""reviewed_initial""}",[]
