planned_id,case_id,condition,role,applicability,first_contract,request_count,transport_retry_count,structure_repair_count,semantic_revision_request_count,prompt_tokens_known,prompt_tokens,output_tokens_known,output_tokens,total_tokens_known,total_tokens,visible_output_tokens,thinking_tokens_known,thinking_tokens,thinking_status,usage_incomplete,usage_missing_fields,usage_missing_calls,total_token_basis
ai_education-A,ai_education,A,single,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,3511,3511,1806,1806,6095,6095,1806,778,778,observed,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,research,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,strategy,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,finance,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,writer,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,research_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,strategy_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,finance_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,final_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,Revision,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,Supervisor,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,export,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
