anonymous_id,source_index,hidden_repeat,run_id,planned_id,case_id,condition,execution,source_event_sha256,anonymous_sha256,canonical_anonymous_id
P001,0,True,4bbf0432c6a64657acb16e1bf2e065cb,intelligent_ring-D,intelligent_ring,D,succeeded,be8e579a044bbf49f1d983c18fe95cdb9a6ac3b88aaafa2895cacba111b72095,01aefdb30388898143e9a608277cbf9c70e2997884dc533c0e70f3fa89a193e4,P010
P002,7,False,4c72dd81304046e7a2a4e1ea6b8b2384,intelligent_ring-B,intelligent_ring,B,succeeded,049f5aa5b8a06e4d1d71d210fdb58ad3eee331369e25d702060cf4e371a8f256,01aefdb30388898143e9a608277cbf9c70e2997884dc533c0e70f3fa89a193e4,P002
P003,6,True,e4b92c963f544b6b950884b40a7aa8d9,ai_education-B,ai_education,B,succeeded,eba76ca724e385ff885df094a1c08146ede4fa8723b17b627f146041ee5bcfbe,f40e1e11b512377cf4e203337d840a923ee575db4fc77ec9041935f90b423db5,P007
P004,1,False,9728268bd43b49dba939bce482f9e8b8,ai_education-D,ai_education,D,succeeded,a7fc75aaf77706285e09bf0b478f069ee3d1c948e53a2f8b052913f67cdbdeed,f40e1e11b512377cf4e203337d840a923ee575db4fc77ec9041935f90b423db5,P004
P005,2,False,0c8d196b7a0d49c68b3b664ad122aa68,intelligent_ring-A,intelligent_ring,A,succeeded,e6ac3151c044dca37bb2abb55b0c626f38768e856b70f4fb32021dfd02fdd2b3,367637c9bc7d2423d1f4c36c2e7efffa1e6381b5aa230bc658e386babde9ad30,P005
P006,5,False,3e7bf93bc1864ca599fba1536fb0e8db,ai_education-C,ai_education,C,succeeded,3f5dc31ffc7729b95227a7bcc0ffcd09bd2ad0aa1ef98ef02117f2cdf2646a87,f40e1e11b512377cf4e203337d840a923ee575db4fc77ec9041935f90b423db5,P006
P007,6,False,e4b92c963f544b6b950884b40a7aa8d9,ai_education-B,ai_education,B,succeeded,eba76ca724e385ff885df094a1c08146ede4fa8723b17b627f146041ee5bcfbe,f40e1e11b512377cf4e203337d840a923ee575db4fc77ec9041935f90b423db5,P007
P008,4,False,23c5d190be0f42bb86c258bbf4b356de,intelligent_ring-C,intelligent_ring,C,succeeded,52bfc65bfbe81851af58c749f70bba43259c6f15499aac12809c474f5cac9dee,01aefdb30388898143e9a608277cbf9c70e2997884dc533c0e70f3fa89a193e4,P008
P009,3,False,21e34889b3224e86ac276a14d5427909,ai_education-A,ai_education,A,succeeded,5c7433fb43acd378b4bf813ad9db3aedd4d7e2179a01765a96941b92fe70de36,f40e1e11b512377cf4e203337d840a923ee575db4fc77ec9041935f90b423db5,P009
P010,0,False,4bbf0432c6a64657acb16e1bf2e065cb,intelligent_ring-D,intelligent_ring,D,succeeded,be8e579a044bbf49f1d983c18fe95cdb9a6ac3b88aaafa2895cacba111b72095,01aefdb30388898143e9a608277cbf9c70e2997884dc533c0e70f3fa89a193e4,P010
