planned_id,case_id,condition,node_scope_id,status,budget
ai_education-A,ai_education,A,21e34889b3224e86ac276a14d5427909.single,started,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 0, ""retry_count"": 0, ""remaining_requests"": 64, ""remaining_tokens"": 20000000, ""exhausted"": false, ""charged_total_tokens"": 0, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 0, ""actual_output_tokens_known"": 0, ""actual_total_tokens_known"": 0, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.015000000013969839, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""21e34889b3224e86ac276a14d5427909.single""}"
ai_education-A,ai_education,A,21e34889b3224e86ac276a14d5427909.single,completed,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 60, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.15599999998812564, ""node_elapsed_seconds"": 0.1409999999741558, ""node_scope_id"": ""21e34889b3224e86ac276a14d5427909.single""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.research,started,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 0, ""retry_count"": 0, ""remaining_requests"": 64, ""remaining_tokens"": 20000000, ""exhausted"": false, ""charged_total_tokens"": 0, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 0, ""actual_output_tokens_known"": 0, ""actual_total_tokens_known"": 0, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.10899999999674037, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.research""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.research,completed,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 62, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.17199999999138527, ""node_elapsed_seconds"": 0.0629999999946449, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.research""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.strategy,started,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 62, ""remaining_tokens"": 19999970, ""exhausted"": false, ""charged_total_tokens"": 30, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20, ""actual_output_tokens_known"": 10, ""actual_total_tokens_known"": 30, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.17199999999138527, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.strategy""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.strategy,completed,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 60, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.23399999999674037, ""node_elapsed_seconds"": 0.062000000005355105, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.strategy""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.finance,started,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 60, ""remaining_tokens"": 19999940, ""exhausted"": false, ""charged_total_tokens"": 60, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 40, ""actual_output_tokens_known"": 20, ""actual_total_tokens_known"": 60, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.23399999999674037, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.finance""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.finance,completed,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 6, ""retry_count"": 0, ""remaining_requests"": 58, ""remaining_tokens"": 19999910, ""exhausted"": false, ""charged_total_tokens"": 90, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 60, ""actual_output_tokens_known"": 30, ""actual_total_tokens_known"": 90, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.3129999999946449, ""node_elapsed_seconds"": 0.07899999999790452, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.finance""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.writer,started,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 6, ""retry_count"": 0, ""remaining_requests"": 58, ""remaining_tokens"": 19999910, ""exhausted"": false, ""charged_total_tokens"": 90, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 60, ""actual_output_tokens_known"": 30, ""actual_total_tokens_known"": 90, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.3129999999946449, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.writer""}"
ai_education-D,ai_education,D,9728268bd43b49dba939bce482f9e8b8.writer,completed,"{""max_requests"": 64, ""max_total_tokens"": 20000000, ""request_count"": 11, ""retry_count"": 0, ""remaining_requests"": 53, ""remaining_tokens"": 19999835, ""exhausted"": false, ""charged_total_tokens"": 165, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 110, ""actual_output_tokens_known"": 55, ""actual_total_tokens_known"": 165, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.45300000000861473, ""node_elapsed_seconds"": 0.14000000001396984, ""node_scope_id"": ""9728268bd43b49dba939bce482f9e8b8.writer""}"
