metric,comparison,complete_pairs,planned_cases,mean_difference,median_difference,difference_iqr,improved,tied,worsened,direction,quartile_method,independent_unit
completion,B-A,2,2,0,0.0,0.0,0,2,0,higher,linear interpolation (type 7),case_id
completion,C-B,2,2,0,0.0,0.0,0,2,0,higher,linear interpolation (type 7),case_id
completion,C-D,2,2,0,0.0,0.0,0,2,0,higher,linear interpolation (type 7),case_id
first_contract,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
first_contract,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
first_contract,C-D,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
handoff,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
handoff,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
handoff,C-D,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
review_token_share,B-A,0,2,,,,,,,descriptive,linear interpolation (type 7),case_id
review_token_share,C-B,0,2,,,,,,,descriptive,linear interpolation (type 7),case_id
review_token_share,C-D,0,2,,,,,,,descriptive,linear interpolation (type 7),case_id
first_valid_plan_seconds,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
first_valid_plan_seconds,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
first_valid_plan_seconds,C-D,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
request_count,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
request_count,C-B,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
request_count,C-D,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
total_tokens,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
total_tokens,C-B,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
total_tokens,C-D,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
transport_retry_count,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
transport_retry_count,C-B,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
transport_retry_count,C-D,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
peak_ram_bytes,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_ram_bytes,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_ram_bytes,C-D,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_vram_bytes,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_vram_bytes,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_vram_bytes,C-D,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_pagefile_bytes,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_pagefile_bytes,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
peak_pagefile_bytes,C-D,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
academic_quality,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
academic_quality,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
academic_quality,C-D,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
claim_grounding,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
claim_grounding,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
claim_grounding,C-D,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
assumption_transparency,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
assumption_transparency,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
assumption_transparency,C-D,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
high_impact_unsupported,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
high_impact_unsupported,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
high_impact_unsupported,C-D,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
