planned_id,case_id,condition,handoff_id,run_id,upstream_node,downstream_node,required_artifact_id,required_artifact_version,required_artifact_hash,dependency_ids,branch_rule,expected,status,received_artifact_ref,occurred_at_utc,within_budget,failure_reason,metric_status
ai_education-A,ai_education,A,frozen_inputs->single.generate:packet,071187d16dc24f518e45c8e9387754fd,frozen_inputs,single.generate,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-07T18:47:58.934141+00:00,True,,succeeded
ai_education-A,ai_education,A,frozen_inputs->single.generate:brief,071187d16dc24f518e45c8e9387754fd,frozen_inputs,single.generate,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-07T18:47:58.934141+00:00,True,,succeeded
ai_education-A,ai_education,A,single.generate->single.effective:single.initial,071187d16dc24f518e45c8e9387754fd,single.generate,single.effective,single.initial,1,45c0e871593b7582732afa24ed0ad04f54e30cfefbbfc11fdd98f1d8999ef170,"[""single.initial""]",always,True,succeeded,"{""artifact_id"": ""single.initial"", ""artifact_version"": 1, ""sha256"": ""45c0e871593b7582732afa24ed0ad04f54e30cfefbbfc11fdd98f1d8999ef170""}",2026-09-07T18:47:58.979741+00:00,True,,succeeded
ai_education-A,ai_education,A,single.effective->terminal:single.effective,071187d16dc24f518e45c8e9387754fd,single.effective,terminal,single.effective,1,45c0e871593b7582732afa24ed0ad04f54e30cfefbbfc11fdd98f1d8999ef170,"[""single.effective""]",always,True,succeeded,"{""artifact_id"": ""single.effective"", ""artifact_version"": 1, ""sha256"": ""45c0e871593b7582732afa24ed0ad04f54e30cfefbbfc11fdd98f1d8999ef170""}",2026-09-07T18:47:58.994914+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.generate:packet,58241229974243f794c03d82da882a4c,frozen_inputs,research.generate,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-07T18:47:59.168337+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.generate:brief,58241229974243f794c03d82da882a4c,frozen_inputs,research.generate,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-07T18:47:59.168337+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.critic:packet,58241229974243f794c03d82da882a4c,frozen_inputs,research.critic,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-07T18:47:59.201364+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.critic:brief,58241229974243f794c03d82da882a4c,frozen_inputs,research.critic,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-07T18:47:59.201364+00:00,True,,succeeded
ai_education-D,ai_education,D,research.generate->research.critic:research.initial,58241229974243f794c03d82da882a4c,research.generate,research.critic,research.initial,1,3fe32911235cca5dcc2a39428a4b5309e0489cf38d78bc898a24e4278bb4560e,"[""research.initial""]",always,True,succeeded,"{""artifact_id"": ""research.initial"", ""artifact_version"": 1, ""sha256"": ""3fe32911235cca5dcc2a39428a4b5309e0489cf38d78bc898a24e4278bb4560e""}",2026-09-07T18:47:59.201364+00:00,True,,succeeded
ai_education-D,ai_education,D,research.critic->research.gate:research.critique,58241229974243f794c03d82da882a4c,research.critic,research.gate,research.critique,1,749b6bfef95efbf3dc8beb9a0913892f137db9f46772d69c2fa16ea45985f356,"[""research.critique""]",always,True,succeeded,"{""artifact_id"": ""research.critique"", ""artifact_version"": 1, ""sha256"": ""749b6bfef95efbf3dc8beb9a0913892f137db9f46772d69c2fa16ea45985f356""}",2026-09-07T18:47:59.217381+00:00,True,,succeeded
