metric,comparison,complete_pairs,planned_cases,mean_difference,median_difference,difference_iqr,improved,tied,worsened,direction,quartile_method,independent_unit
completion,B-A,2,2,0.5,0.5,0.5,1,1,0,higher,linear interpolation (type 7),case_id
completion,C-B,2,2,-1,-1.0,0.0,0,0,2,higher,linear interpolation (type 7),case_id
mvp30_material,B-A,2,2,0.5,0.5,0.5,1,1,0,higher,linear interpolation (type 7),case_id
mvp30_material,C-B,2,2,-1,-1.0,0.0,0,0,2,higher,linear interpolation (type 7),case_id
valid_plan60,B-A,2,2,0.5,0.5,0.5,1,1,0,higher,linear interpolation (type 7),case_id
valid_plan60,C-B,2,2,-1,-1.0,0.0,0,0,2,higher,linear interpolation (type 7),case_id
first_mvp30_material_seconds,B-A,1,2,39.06299999999828,39.06299999999828,0.0,0,0,1,lower,linear interpolation (type 7),case_id
first_mvp30_material_seconds,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
first_contract,B-A,2,2,0.33333333333333337,0.33333333333333337,0.5,1,0,1,higher,linear interpolation (type 7),case_id
first_contract,C-B,2,2,-0.5476190476190477,-0.5476190476190477,0.28571428571428564,0,0,2,higher,linear interpolation (type 7),case_id
handoff,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
handoff,C-B,2,2,-0.6158730158730159,-0.6158730158730159,0.32698412698412704,0,0,2,higher,linear interpolation (type 7),case_id
review_token_share,B-A,0,2,,,,,,,descriptive,linear interpolation (type 7),case_id
review_token_share,C-B,2,2,0.07615842968479675,0.07615842968479675,0.1881233643534238,,,,descriptive,linear interpolation (type 7),case_id
first_valid_plan_seconds,B-A,1,2,42.9529999999977,42.9529999999977,0.0,0,0,1,lower,linear interpolation (type 7),case_id
first_valid_plan_seconds,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
request_count,B-A,2,2,5,5.0,0.0,0,0,2,lower,linear interpolation (type 7),case_id
request_count,C-B,2,2,0,0.0,4.0,1,0,1,lower,linear interpolation (type 7),case_id
total_tokens,B-A,2,2,27809,27809.0,1473.0,0,0,2,lower,linear interpolation (type 7),case_id
total_tokens,C-B,2,2,-11361,-11361.0,16590.0,1,0,1,lower,linear interpolation (type 7),case_id
transport_retry_count,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
transport_retry_count,C-B,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
peak_ram_bytes,B-A,2,2,966113280,966113280.0,792819712.0,0,0,2,lower,linear interpolation (type 7),case_id
peak_ram_bytes,C-B,2,2,-783341568,-783341568.0,772057088.0,2,0,0,lower,linear interpolation (type 7),case_id
peak_vram_bytes,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
peak_vram_bytes,C-B,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
peak_pagefile_bytes,B-A,2,2,0,0.0,0.0,0,2,0,lower,linear interpolation (type 7),case_id
peak_pagefile_bytes,C-B,2,2,987136,987136.0,987136.0,0,1,1,lower,linear interpolation (type 7),case_id
academic_quality,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
academic_quality,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
claim_grounding,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
claim_grounding,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
assumption_transparency,B-A,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
assumption_transparency,C-B,0,2,,,,0,0,0,higher,linear interpolation (type 7),case_id
high_impact_unsupported,B-A,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
high_impact_unsupported,C-B,0,2,,,,0,0,0,lower,linear interpolation (type 7),case_id
