condition,metric,mean,median,valid_cases,planned_cases,aggregation
A,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,handoff,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,review_token_share,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,first_valid_plan_seconds,0.14050000000861473,0.14050000000861473,2,2,equal weight of applicable case values; no pooling claim denominators
A,request_count,4,4.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,total_tokens,60,60.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
A,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
A,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,review_token_share,0.10416666666666666,0.10416666666666666,2,2,equal weight of applicable case values; no pooling claim denominators
B,first_valid_plan_seconds,0.39900000000488944,0.39900000000488944,2,2,equal weight of applicable case values; no pooling claim denominators
B,request_count,10,10.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,total_tokens,150,150.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
B,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
B,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,review_token_share,0.29292929292929293,0.29292929292929293,2,2,equal weight of applicable case values; no pooling claim denominators
C,first_valid_plan_seconds,0.6559999999881256,0.6559999999881256,2,2,equal weight of applicable case values; no pooling claim denominators
C,request_count,14.5,14.5,2,2,equal weight of applicable case values; no pooling claim denominators
C,total_tokens,217.5,217.5,2,2,equal weight of applicable case values; no pooling claim denominators
C,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
C,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
C,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,completion,1,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,first_contract,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,handoff,1.0,1.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,review_token_share,0.29292929292929293,0.29292929292929293,2,2,equal weight of applicable case values; no pooling claim denominators
D,first_valid_plan_seconds,0.6329999999870779,0.6329999999870779,2,2,equal weight of applicable case values; no pooling claim denominators
D,request_count,14.5,14.5,2,2,equal weight of applicable case values; no pooling claim denominators
D,total_tokens,217.5,217.5,2,2,equal weight of applicable case values; no pooling claim denominators
D,transport_retry_count,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_ram_bytes,8589934592,8589934592.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_vram_bytes,0,0.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,peak_pagefile_bytes,1073741824,1073741824.0,2,2,equal weight of applicable case values; no pooling claim denominators
D,academic_quality,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,claim_grounding,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,assumption_transparency,,,0,2,equal weight of applicable case values; no pooling claim denominators
D,high_impact_unsupported,,,0,2,equal weight of applicable case values; no pooling claim denominators
