planned_id,case_id,condition,logical_task_id,role,first_output_passed,state,actual_attempt_count,attempt_ids
ai_education-A,ai_education,A,single.compact.v1,single,True,observed,1,"[""72c12d0b-6512-4aa4-b13a-fa8c6a301b7d""]"
ai_education-A,ai_education,A,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,final.critic.compact.v1,final_critic,True,observed,1,"[""3d462dc9-5687-43ce-86f1-e43ee31350f1""]"
ai_education-D,ai_education,D,finance.compact.v1,finance,True,observed,1,"[""2d7b4b8d-65bc-4a9f-8438-0729a2327d10""]"
ai_education-D,ai_education,D,finance.critic.compact.v1,finance_critic,True,observed,1,"[""5f97b106-d9c1-40a9-9f6f-671ede1031b5""]"
ai_education-D,ai_education,D,research.compact.v1,research,True,observed,1,"[""be0e9c25-6a96-4c7f-a02d-28eecec30da9""]"
ai_education-D,ai_education,D,research.critic.compact.v1,research_critic,True,observed,1,"[""89a032fd-fb88-48de-b454-6a7a3c8ab455""]"
ai_education-D,ai_education,D,strategy.compact.v1,strategy,True,observed,1,"[""ccb5bffa-e7e6-48f8-9c49-af0625ad8efc""]"
ai_education-D,ai_education,D,strategy.critic.compact.v1,strategy_critic,True,observed,1,"[""8b8eebb3-6ac0-439e-a0b1-db9812e8929d""]"
ai_education-D,ai_education,D,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,writer.compact.v1,writer,True,observed,1,"[""eed925d0-b8aa-415c-a8c4-5aec0deba718""]"
ai_education-B,ai_education,B,final.critic.compact.v1,final_critic,True,observed,1,"[""58398b91-3a4b-46f4-a81b-43e224cf4eb3""]"
ai_education-B,ai_education,B,finance.compact.v1,finance,True,observed,1,"[""8dc66c0d-2fb3-4e95-bcb8-38a40aac52ea""]"
ai_education-B,ai_education,B,research.compact.v1,research,True,observed,1,"[""be527d77-ca6e-496f-8946-14a5f8048b8e""]"
ai_education-B,ai_education,B,strategy.compact.v1,strategy,True,observed,1,"[""74973e5e-a88b-4da7-bde0-d2f451248646""]"
ai_education-B,ai_education,B,terminal.v1,export,True,observed,0,[]
ai_education-B,ai_education,B,writer.compact.v1,writer,True,observed,1,"[""017755c3-c7dd-4626-a5e7-69a85b4b74fd""]"
