planned_id,case_id,condition,logical_task_id,role,first_output_passed,state,actual_attempt_count,attempt_ids
ai_education-A,ai_education,A,single.compact.v1,single,True,observed,1,"[""3431d0aa-d6bb-4ab4-b722-48ac44e95a65""]"
ai_education-A,ai_education,A,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,final.critic.compact.v1,final_critic,True,observed,1,"[""fee6e6b8-644c-4cdf-aa41-583c2ef68f14""]"
ai_education-D,ai_education,D,finance.compact.v1,finance,True,observed,1,"[""1c2bbaa2-831a-40c6-ad63-370a3869003f""]"
ai_education-D,ai_education,D,finance.critic.compact.v1,finance_critic,True,observed,1,"[""ec8e2ebd-8229-4bad-8885-bb0cf3777ac0""]"
ai_education-D,ai_education,D,research.compact.v1,research,True,observed,1,"[""ac45c79e-b9ae-4b80-b112-ad21aa3fa4c1""]"
ai_education-D,ai_education,D,research.critic.compact.v1,research_critic,True,observed,1,"[""2e98215e-58d1-4a20-bc28-daad1078b540""]"
ai_education-D,ai_education,D,strategy.compact.v1,strategy,True,observed,1,"[""2e0c7684-523e-4e1f-ba8f-e2b83683616d""]"
ai_education-D,ai_education,D,strategy.critic.compact.v1,strategy_critic,True,observed,1,"[""61db49d3-92a6-4730-9a24-c058b02e8154""]"
ai_education-D,ai_education,D,terminal.v1,export,True,observed,0,[]
ai_education-D,ai_education,D,writer.compact.v1,writer,True,observed,1,"[""a5a608ef-9ba6-4c77-9337-88cf8890c6db""]"
ai_education-B,ai_education,B,final.critic.compact.v1,final_critic,True,observed,1,"[""a356eca4-55d4-47fd-bfb6-38160616ec09""]"
ai_education-B,ai_education,B,finance.compact.v1,finance,True,observed,1,"[""102d0179-b4e3-4abc-9300-5fa6a2c9705d""]"
ai_education-B,ai_education,B,research.compact.v1,research,True,observed,1,"[""4b91dc4e-b4f1-4f3e-866d-2c4cd6c96693""]"
ai_education-B,ai_education,B,strategy.compact.v1,strategy,True,observed,1,"[""c355f8ff-3ee5-42dc-96b2-7254241e161c""]"
ai_education-B,ai_education,B,terminal.v1,export,True,observed,0,[]
ai_education-B,ai_education,B,writer.compact.v1,writer,True,observed,1,"[""7709f0b6-5d65-40b8-b7c6-4df5d8206343""]"
ai_education-C,ai_education,C,final.critic.compact.v1,final_critic,True,observed,1,"[""f712a778-fa45-4c8d-80fc-d2d338c913d7""]"
ai_education-C,ai_education,C,finance.compact.v1,finance,True,observed,1,"[""7215b653-c24b-4a33-b991-f02fc24ee0ea""]"
ai_education-C,ai_education,C,finance.critic.compact.v1,finance_critic,True,observed,1,"[""e2d0b4fa-607b-4cdd-befb-39615d9b4321""]"
ai_education-C,ai_education,C,research.compact.v1,research,True,observed,1,"[""906411df-4061-4847-a229-04beb8d4cc0c""]"
ai_education-C,ai_education,C,research.critic.compact.v1,research_critic,True,observed,1,"[""b7d3a196-2252-489d-ac7f-d062f6010cd8""]"
ai_education-C,ai_education,C,strategy.compact.v1,strategy,True,observed,1,"[""21804036-b819-4d09-8424-9ee2881e7f0d""]"
ai_education-C,ai_education,C,strategy.critic.compact.v1,strategy_critic,True,observed,1,"[""145f04aa-d094-4b59-a3c7-116614fcc9d8""]"
ai_education-C,ai_education,C,terminal.v1,export,True,observed,0,[]
ai_education-C,ai_education,C,writer.compact.v1,writer,True,observed,1,"[""63521280-8c41-4512-9111-3e53ede8de28""]"
intelligent_ring-C,intelligent_ring,C,final.critic.compact.v1,final_critic,True,observed,1,"[""f09c383c-7038-4247-9542-1209c7ed6f62""]"
intelligent_ring-C,intelligent_ring,C,finance.compact.v1,finance,True,observed,1,"[""0a565fd8-ed9e-4d80-aaa6-229c3fc52a1f""]"
intelligent_ring-C,intelligent_ring,C,finance.critic.compact.v1,finance_critic,True,observed,1,"[""f2b682c4-06f7-4ca5-90a1-1d0acde62699""]"
intelligent_ring-C,intelligent_ring,C,finance.revision.v2,Revision,True,observed,1,"[""b1c8884c-7bc5-4c5d-a3b0-430e59b97ea2""]"
intelligent_ring-C,intelligent_ring,C,research.compact.v1,research,True,observed,1,"[""4a64d489-83e6-4401-9e5c-60b03a7e1851""]"
intelligent_ring-C,intelligent_ring,C,research.critic.compact.v1,research_critic,True,observed,1,"[""9ad72e62-5a50-4d67-b4c0-9312bf102f71""]"
intelligent_ring-C,intelligent_ring,C,research.revision.v2,Revision,True,observed,1,"[""d5ad59c6-4342-471c-90e5-a64a99114132""]"
intelligent_ring-C,intelligent_ring,C,strategy.compact.v1,strategy,True,observed,1,"[""e4a07454-eef6-494f-82e8-f7c564883097""]"
intelligent_ring-C,intelligent_ring,C,strategy.critic.compact.v1,strategy_critic,True,observed,1,"[""ad9dfb8f-d9e2-4775-b828-f1d52a319605""]"
intelligent_ring-C,intelligent_ring,C,strategy.revision.v2,Revision,True,observed,1,"[""7bf1712b-587c-4edf-8502-a64d778b9b8d""]"
intelligent_ring-C,intelligent_ring,C,terminal.v1,export,True,observed,0,[]
intelligent_ring-C,intelligent_ring,C,writer.compact.v1,writer,True,observed,1,"[""a14495a1-f7d6-4bac-b79c-d904bdd2abbd""]"
intelligent_ring-C,intelligent_ring,C,writer.revision.v2,Revision,True,observed,1,"[""e7b3d00d-a5a0-4ce8-a5e7-f808a89c923b""]"
intelligent_ring-B,intelligent_ring,B,final.critic.compact.v1,final_critic,True,observed,1,"[""540f5601-bba9-4c86-a92e-318a75207d5d""]"
intelligent_ring-B,intelligent_ring,B,finance.compact.v1,finance,True,observed,1,"[""f6e195c8-b2c4-4f5b-a7cb-f9c4b5198985""]"
intelligent_ring-B,intelligent_ring,B,research.compact.v1,research,True,observed,1,"[""4126494c-10fc-40ac-ad49-ecfe5812eb43""]"
intelligent_ring-B,intelligent_ring,B,strategy.compact.v1,strategy,True,observed,1,"[""043ca5be-a24c-4150-b0e3-5afbd495ff18""]"
intelligent_ring-B,intelligent_ring,B,terminal.v1,export,True,observed,0,[]
intelligent_ring-B,intelligent_ring,B,writer.compact.v1,writer,True,observed,1,"[""3beb08ab-ed7b-4417-8214-124706d999a7""]"
intelligent_ring-B,intelligent_ring,B,writer.revision.v2,Revision,True,observed,1,"[""8e0ddb24-e657-4bb0-9b59-976b1b95b004""]"
intelligent_ring-D,intelligent_ring,D,final.critic.compact.v1,final_critic,True,observed,1,"[""cb479af3-95bb-4b94-bad8-88831e8421be""]"
intelligent_ring-D,intelligent_ring,D,finance.compact.v1,finance,True,observed,1,"[""b67f3a2b-0908-4a58-b764-586f1312535c""]"
intelligent_ring-D,intelligent_ring,D,finance.critic.compact.v1,finance_critic,True,observed,1,"[""91f20666-453a-46d4-8fd7-94dae31d3707""]"
intelligent_ring-D,intelligent_ring,D,finance.revision.v2,Revision,True,observed,1,"[""38614d0d-c9bd-4891-af64-a915e762ebff""]"
intelligent_ring-D,intelligent_ring,D,research.compact.v1,research,True,observed,1,"[""b031e30c-a51a-4319-9cc0-43afba3d9386""]"
intelligent_ring-D,intelligent_ring,D,research.critic.compact.v1,research_critic,True,observed,1,"[""6e8c35b6-773e-45d0-a3a0-907c9058f996""]"
intelligent_ring-D,intelligent_ring,D,research.revision.v2,Revision,True,observed,1,"[""dcb0365e-f2dd-4218-8515-3e23beee4188""]"
intelligent_ring-D,intelligent_ring,D,strategy.compact.v1,strategy,True,observed,1,"[""8daf18c4-2e0c-498f-ae97-840ce5503aef""]"
intelligent_ring-D,intelligent_ring,D,strategy.critic.compact.v1,strategy_critic,True,observed,1,"[""24fcdc34-b342-4e37-b577-eb4910711b34""]"
intelligent_ring-D,intelligent_ring,D,strategy.revision.v2,Revision,True,observed,1,"[""fae1b5ea-db8b-4d49-8a36-a8c6c3cb89a2""]"
intelligent_ring-D,intelligent_ring,D,terminal.v1,export,True,observed,0,[]
intelligent_ring-D,intelligent_ring,D,writer.compact.v1,writer,True,observed,1,"[""f4172bae-ce8b-460a-86d2-8474d5d74751""]"
intelligent_ring-D,intelligent_ring,D,writer.revision.v2,Revision,True,observed,1,"[""5714be27-5a59-4b1d-9fcb-930a89bb70ec""]"
intelligent_ring-A,intelligent_ring,A,single.compact.v1,single,True,observed,1,"[""d33c2448-0b4d-446b-9101-a0213dfd0b75""]"
intelligent_ring-A,intelligent_ring,A,terminal.v1,export,True,observed,0,[]
