planned_id,case_id,condition,handoff_id,run_id,upstream_node,downstream_node,required_artifact_id,required_artifact_version,required_artifact_hash,dependency_ids,branch_rule,expected,status,received_artifact_ref,occurred_at_utc,within_budget,failure_reason,metric_status
ai_education-A,ai_education,A,frozen_inputs->single.generate:packet,21e34889b3224e86ac276a14d5427909,frozen_inputs,single.generate,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-06T23:35:03.392124+00:00,True,,succeeded
ai_education-A,ai_education,A,frozen_inputs->single.generate:brief,21e34889b3224e86ac276a14d5427909,frozen_inputs,single.generate,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-06T23:35:03.393125+00:00,True,,succeeded
ai_education-A,ai_education,A,single.generate->single.effective:single.initial,21e34889b3224e86ac276a14d5427909,single.generate,single.effective,single.initial,1,80c579d7952b4c37c20a28fc88130b40a3ef727b6042a22c0561c9b3c12d0eeb,"[""single.initial""]",always,True,succeeded,"{""artifact_id"": ""single.initial"", ""artifact_version"": 1, ""sha256"": ""80c579d7952b4c37c20a28fc88130b40a3ef727b6042a22c0561c9b3c12d0eeb""}",2026-09-06T23:35:03.517095+00:00,True,,succeeded
ai_education-A,ai_education,A,single.effective->terminal:single.effective,21e34889b3224e86ac276a14d5427909,single.effective,terminal,single.effective,1,80c579d7952b4c37c20a28fc88130b40a3ef727b6042a22c0561c9b3c12d0eeb,"[""single.effective""]",always,True,succeeded,"{""artifact_id"": ""single.effective"", ""artifact_version"": 1, ""sha256"": ""80c579d7952b4c37c20a28fc88130b40a3ef727b6042a22c0561c9b3c12d0eeb""}",2026-09-06T23:35:03.530491+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.generate:packet,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,research.generate,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-06T23:35:03.671878+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.generate:brief,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,research.generate,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-06T23:35:03.673873+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.critic:packet,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,research.critic,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-06T23:35:03.695045+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->research.critic:brief,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,research.critic,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-06T23:35:03.697040+00:00,True,,succeeded
ai_education-D,ai_education,D,research.generate->research.critic:research.initial,9728268bd43b49dba939bce482f9e8b8,research.generate,research.critic,research.initial,1,db7743e87c0f10932f62100faf71223cc1bcac7ac41ae1e34ce5d75001306554,"[""research.initial""]",always,True,succeeded,"{""artifact_id"": ""research.initial"", ""artifact_version"": 1, ""sha256"": ""db7743e87c0f10932f62100faf71223cc1bcac7ac41ae1e34ce5d75001306554""}",2026-09-06T23:35:03.698047+00:00,True,,succeeded
ai_education-D,ai_education,D,research.critic->research.gate:research.critique,9728268bd43b49dba939bce482f9e8b8,research.critic,research.gate,research.critique,1,e9172d50557b79175ea9e0d77ae2ec8441e40f25ae6677140e63b69780f3c9ec,"[""research.critique""]",always,True,succeeded,"{""artifact_id"": ""research.critique"", ""artifact_version"": 1, ""sha256"": ""e9172d50557b79175ea9e0d77ae2ec8441e40f25ae6677140e63b69780f3c9ec""}",2026-09-06T23:35:03.715904+00:00,True,,succeeded
ai_education-D,ai_education,D,research.gate->research.effective:research.gate,9728268bd43b49dba939bce482f9e8b8,research.gate,research.effective,research.gate,1,8bc848ae9f76f78a5c937343dceb265179fa3447ef818e2ab484471b3edcf8a2,"[""research.gate""]",always,True,succeeded,"{""artifact_id"": ""research.gate"", ""artifact_version"": 1, ""sha256"": ""8bc848ae9f76f78a5c937343dceb265179fa3447ef818e2ab484471b3edcf8a2""}",2026-09-06T23:35:03.723097+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->strategy.generate:packet,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,strategy.generate,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-06T23:35:03.735094+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->strategy.generate:brief,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,strategy.generate,brief,1,368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4,"[""brief""]",always,True,succeeded,"{""artifact_id"": ""brief"", ""artifact_version"": 1, ""sha256"": ""368668bc82bb639cfb0af64cbe0a0fb6536195f5f2a49e0069f4e1f7bac6e4a4""}",2026-09-06T23:35:03.736097+00:00,True,,succeeded
ai_education-D,ai_education,D,research.effective->strategy.generate:research.effective,9728268bd43b49dba939bce482f9e8b8,research.effective,strategy.generate,research.effective,1,db7743e87c0f10932f62100faf71223cc1bcac7ac41ae1e34ce5d75001306554,"[""research.effective""]",always,True,succeeded,"{""artifact_id"": ""research.effective"", ""artifact_version"": 1, ""sha256"": ""db7743e87c0f10932f62100faf71223cc1bcac7ac41ae1e34ce5d75001306554""}",2026-09-06T23:35:03.736989+00:00,True,,succeeded
ai_education-D,ai_education,D,frozen_inputs->strategy.critic:packet,9728268bd43b49dba939bce482f9e8b8,frozen_inputs,strategy.critic,packet,1,2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03,"[""packet""]",always,True,succeeded,"{""artifact_id"": ""packet"", ""artifact_version"": 1, ""sha256"": ""2d05d0f5be08ec4f89f36b6db2af77137f700938a87684c74f2f29b744af4b03""}",2026-09-06T23:35:03.760429+00:00,True,,succeeded
